coffee_id,Country_of_Origin,Altitude,Harvest_Year,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Total_Cup_Points,Moisture,Color,Category_One_Defects,Category_Two_Defects,Quakers
1157,Mexico,1100.0,2012,Typica,Washed / Wet,7.25,6.83,6.92,7.08,7.25,7.08,10.0,10.0,10.0,7.33,79.75,0.12,No informado,0,7,0.0
1279,Mexico,1100.0,2012,Other,Washed / Wet,7.25,6.83,6.67,7.08,7.17,6.83,10.0,6.67,10.0,6.67,75.17,0.12,No informado,0,8,0.0
1219,Mexico,1400.0,2012,Typica,Washed / Wet,7.0,7.0,6.75,7.33,6.92,6.92,10.0,10.0,10.0,6.67,78.58,0.13,Green,0,1,0.0
1155,Mexico,1050.0,2012,Typica,Washed / Wet,7.33,7.25,7.0,7.08,7.08,7.0,10.0,10.0,10.0,7.0,79.75,0.1,Green,1,22,0.0
349,Mexico,1000.0,2012,Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,0.12,No informado,0,2,0.0
1164,Mexico,1264.0,2012,Mundo Novo,Washed / Wet,6.92,7.17,7.17,7.17,7.08,7.08,10.0,10.0,10.0,7.08,79.67,0.0,No informado,0,9,0.0
575,Mexico,1250.0,2012,Bourbon,Washed / Wet,7.67,7.58,7.42,7.75,7.42,7.42,10.0,10.0,10.0,7.58,82.83,0.12,Blue-Green,0,7,0.0
925,Mexico,1600.0,2012,Typica,Washed / Wet,7.58,7.42,7.25,7.42,7.33,7.33,10.0,10.0,10.0,7.17,81.5,0.12,Green,0,5,0.0
1085,Mexico,1050.0,2012,Typica,Washed / Wet,6.92,7.17,7.08,7.5,7.33,7.17,10.0,10.0,10.0,7.25,80.42,0.1,Green,2,4,0.0
273,Mexico,1500.0,2012,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,83.92,0.11,No informado,0,2,0.0
209,Mexico,1400.0,2012,Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,84.25,0.1,Bluish-Green,0,4,0.0
725,Mexico,1300.0,2013,Typica,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.42,82.33,0.12,Green,0,3,0.0
1205,Mexico,1300.0,2013,Typica,Washed / Wet,7.33,7.0,6.75,7.08,7.17,7.25,9.33,10.0,10.0,7.0,78.92,0.12,Green,0,8,0.0
521,Mexico,1200.0,2012,Bourbon,Washed / Wet,7.5,7.67,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.67,83.0,0.11,Green,5,8,0.0
168,Mexico,1500.0,2012,Typica,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,84.5,0.11,No informado,0,4,0.0
893,Mexico,1400.0,2012,Bourbon,Washed / Wet,7.58,7.42,7.25,7.58,7.25,7.17,10.0,10.0,10.0,7.42,81.67,0.11,Green,0,2,0.0
577,Mexico,1380.0,2012,Typica,Washed / Wet,7.58,7.58,7.5,7.42,7.67,7.58,10.0,10.0,10.0,7.5,82.83,0.11,No informado,0,2,0.0
971,Mexico,1500.0,2012,Typica,Washed / Wet,7.42,7.42,7.33,7.33,7.5,7.42,9.33,10.0,10.0,7.5,81.25,0.12,Green,0,1,0.0
291,Mexico,1300.0,2012,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,83.83,0.11,No informado,0,4,0.0
471,Mexico,1380.0,2012,Typica,Washed / Wet,7.5,7.75,7.58,7.58,7.67,7.5,10.0,10.0,10.0,7.58,83.17,0.11,No informado,0,5,0.0
924,Mexico,1150.0,2013,Typica,Washed / Wet,7.33,7.33,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.25,81.5,0.13,Green,0,2,0.0
1035,Mexico,100.0,2012,Bourbon,Washed / Wet,7.5,7.17,7.33,7.25,7.17,7.17,10.0,10.0,10.0,7.25,80.83,0.13,Green,0,1,0.0
855,Mexico,1500.0,2012,Bourbon,Washed / Wet,7.83,7.33,7.25,7.58,7.25,7.33,10.0,10.0,10.0,7.25,81.83,0.12,Green,0,2,0.0
1135,Mexico,1100.0,2012,Bourbon,Washed / Wet,7.5,7.17,7.0,7.17,7.25,7.08,10.0,10.0,10.0,6.75,79.92,0.0,No informado,0,0,0.0
892,Mexico,1200.0,2012,Bourbon,Washed / Wet,7.5,7.42,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.17,81.67,0.11,Green,0,2,0.0
701,Mexico,1450.0,2012,Typica,Washed / Wet,7.83,7.5,7.42,7.67,7.17,7.33,10.0,10.0,10.0,7.5,82.42,0.12,Bluish-Green,0,0,0.0
1291,Mexico,1250.0,2012,Typica,Washed / Wet,7.67,7.0,7.17,7.58,7.33,7.33,10.0,2.67,10.0,7.08,73.83,0.12,Green,0,19,0.0
1166,Mexico,1250.0,2012,Typica,Washed / Wet,7.08,7.0,6.92,7.33,7.25,7.08,10.0,10.0,10.0,6.92,79.58,0.12,No informado,0,11,0.0
994,Mexico,1650.0,2012,Typica,Washed / Wet,7.25,7.42,7.33,7.33,7.17,7.33,10.0,10.0,10.0,7.25,81.08,0.13,No informado,5,16,0.0
699,Mexico,1150.0,2012,Caturra,Washed / Wet,7.58,7.33,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.58,82.42,0.11,Green,0,0,0.0
668,Mexico,1100.0,2012,Typica,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.5,82.5,0.12,Green,0,5,0.0
600,Mexico,1550.0,2013,Typica,Washed / Wet,7.58,7.58,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.58,82.75,0.12,Green,0,6,0.0
693,Mexico,1560.0,2013,Typica,Washed / Wet,7.5,7.42,7.42,7.67,7.42,7.58,10.0,10.0,10.0,7.42,82.42,0.12,Green,0,5,0.0
1286,Mexico,1700.0,2013,Typica,Washed / Wet,7.08,7.0,6.83,7.5,7.33,6.83,8.0,7.33,10.0,6.75,74.67,0.12,Green,0,7,0.0
465,Mexico,1500.0,2013,Typica,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.75,83.17,0.11,Green,0,2,0.0
602,Mexico,1200.0,2012,Typica,Natural / Dry,8.08,8.17,8.0,8.0,7.83,7.92,6.67,10.0,10.0,8.08,82.75,0.12,No informado,1,4,0.0
239,Mexico,1480.0,2012,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,84.08,0.11,Green,1,10,0.0
1224,Mexico,1200.0,2012,Caturra,Washed / Wet,7.25,7.17,7.0,6.83,7.58,7.08,8.67,10.0,10.0,6.92,78.5,0.13,Green,1,3,0.0
888,Mexico,1400.0,2013,Typica,Washed / Wet,7.5,7.42,7.08,7.58,7.33,7.33,10.0,10.0,10.0,7.42,81.67,0.12,Green,0,6,0.0
1151,Mexico,1400.0,2013,Typica,Washed / Wet,7.58,7.08,7.0,7.0,7.5,6.92,10.0,10.0,10.0,6.67,79.75,0.12,Green,0,4,0.0
905,Mexico,1400.0,2013,Typica,Washed / Wet,7.67,7.5,7.42,7.5,6.75,7.42,10.0,10.0,10.0,7.33,81.58,0.12,Green,0,9,0.0
1162,Mexico,1400.0,2013,Typica,Washed / Wet,7.42,7.25,6.83,7.58,7.17,6.58,10.0,10.0,10.0,6.83,79.67,0.12,Green,0,6,0.0
1245,Mexico,1248.0,2012,Typica,Washed / Wet,7.42,7.25,7.0,7.0,7.25,7.08,8.0,10.0,10.0,6.92,77.92,0.11,Green,0,3,0.0
1174,Mexico,1100.0,2012,Typica,Washed / Wet,7.25,7.33,7.0,7.25,7.17,7.17,9.33,10.0,10.0,7.0,79.5,0.12,Bluish-Green,0,5,0.0
1092,Mexico,940.0,2012,Typica,Semi-washed / Semi-pulped,7.25,7.08,7.08,7.33,7.33,7.17,10.0,10.0,10.0,7.08,80.33,0.11,Green,0,21,0.0
369,Mexico,940.0,2012,Typica,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,83.5,0.11,Green,0,12,0.0
894,Mexico,940.0,2012,Caturra,Semi-washed / Semi-pulped,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10.0,10.0,7.67,81.67,0.11,Green,0,4,0.0
865,Mexico,1250.0,2012,Mundo Novo,Washed / Wet,7.42,7.5,7.17,7.67,7.33,7.42,10.0,10.0,10.0,7.25,81.75,0.13,Green,0,23,0.0
928,Mexico,1250.0,2012,Bourbon,Washed / Wet,7.42,7.42,7.33,7.17,7.25,7.42,10.0,10.0,10.0,7.5,81.5,0.13,Green,0,5,0.0
112,Mexico,1200.0,2012,Typica,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92,0.11,No informado,0,0,0.0
1211,Mexico,1250.0,2012,Typica,Semi-washed / Semi-pulped,7.25,7.33,7.17,7.25,7.08,7.0,8.67,10.0,10.0,7.0,78.75,0.14,No informado,0,0,0.0
694,Mexico,1400.0,2012,Typica,Semi-washed / Semi-pulped,7.42,7.58,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.42,82.42,0.13,Green,0,2,0.0
207,Mexico,1450.0,2012,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,84.25,0.12,Green,0,1,0.0
1214,Mexico,1150.0,2012,Caturra,Washed / Wet,6.92,6.92,6.67,7.25,7.17,6.92,10.0,10.0,10.0,6.83,78.67,0.13,No informado,0,2,0.0
983,Mexico,1800.0,2012,Typica,Natural / Dry,7.42,7.25,7.08,7.75,7.42,7.17,10.0,10.0,10.0,7.08,81.17,0.13,Green,3,7,0.0
789,Mexico,1800.0,2012,Typica,Washed / Wet,7.5,7.42,7.42,7.5,7.25,7.5,10.0,10.0,10.0,7.5,82.08,0.13,Green,3,13,0.0
960,Mexico,1800.0,2012,Typica,Washed / Wet,7.58,7.42,7.25,7.33,7.25,7.25,10.0,10.0,10.0,7.25,81.33,0.13,Green,4,13,0.0
690,Mexico,1170.0,2013,Bourbon,Washed / Wet,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10.0,10.0,7.5,82.42,0.12,Green,0,0,0.0
696,Mexico,1170.0,2012,Caturra,Washed / Wet,7.75,7.33,7.25,7.58,7.58,7.33,10.0,10.0,10.0,7.58,82.42,0.13,Green,0,1,0.0
368,Mexico,1170.0,2012,Bourbon,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,83.5,0.13,Green,0,14,0.0
748,Mexico,1170.0,2012,Bourbon,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10.0,10.0,10.0,7.33,82.25,0.13,Green,0,3,0.0
729,Mexico,1170.0,2012,Bourbon,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.0,82.33,0.13,Green,0,9,0.0
208,Mexico,1170.0,2012,Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,84.25,0.12,Green,0,0,0.0
272,Mexico,900.0,2012,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,83.92,0.12,Blue-Green,10,32,0.0
23,Mexico,1320.0,2012,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,Green,0,0,0.0
775,Mexico,1000.0,2012,Typica,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10.0,10.0,10.0,7.5,82.17,0.12,Green,0,4,0.0
520,Mexico,1200.0,2012,Typica,Semi-washed / Semi-pulped,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10.0,10.0,7.83,83.0,0.11,Green,0,7,0.0
997,Mexico,1200.0,2012,Typica,Washed / Wet,7.42,7.33,7.25,7.42,7.17,7.25,10.0,10.0,10.0,7.25,81.08,0.1,Green,0,1,0.0
1197,Mexico,1200.0,2012,Typica,Washed / Wet,7.17,7.25,7.25,7.17,7.25,7.08,9.33,9.33,10.0,7.25,79.08,0.1,Bluish-Green,0,0,0.0
432,Mexico,,2012,Mundo Novo,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.25,0.13,Green,0,7,0.0
1122,Mexico,1300.0,2012,Typica,Washed / Wet,7.25,7.08,7.0,7.17,7.33,7.17,10.0,10.0,10.0,7.08,80.08,0.14,Green,1,17,0.0
290,Mexico,1218.0,2012,Bourbon,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,83.83,0.1,Green,0,2,0.0
1280,Mexico,1280.0,2012,Typica,Washed / Wet,7.17,7.17,6.83,7.17,7.42,6.67,8.67,7.33,10.0,6.75,75.17,0.13,Bluish-Green,23,29,0.0
827,Mexico,1300.0,2013,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.5,7.25,10.0,10.0,10.0,7.25,81.92,0.12,Green,0,6,0.0
1133,Mexico,1300.0,2013,Bourbon,Washed / Wet,7.33,7.08,7.08,7.33,7.42,7.17,9.33,10.0,10.0,7.17,79.92,0.12,Green,0,4,0.0
430,Mexico,1300.0,2013,Bourbon,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,83.25,0.12,Green,0,6,0.0
1153,Mexico,1300.0,2013,Bourbon,Washed / Wet,7.25,7.08,7.0,7.17,7.17,7.08,10.0,10.0,10.0,7.0,79.75,0.12,Green,0,5,0.0
749,Mexico,1250.0,2012,Typica,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.33,82.25,0.12,Green,0,13,0.0
650,Mexico,1250.0,2012,Typica,Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.58,82.58,0.1,Green,0,6,0.0
1235,Mexico,1050.0,2012,Typica,Washed / Wet,7.08,6.83,6.67,7.25,7.25,6.92,10.0,9.33,10.0,6.75,78.08,0.11,Green,0,3,0.0
831,Mexico,1000.0,2012,Bourbon,Washed / Wet,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10.0,10.0,7.33,81.92,0.12,Green,0,0,0.0
433,Mexico,1000.0,2012,Caturra,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,7.58,83.25,0.12,Blue-Green,0,0,0.0
700,Mexico,1250.0,2012,Bourbon,Washed / Wet,7.67,7.58,7.33,7.42,7.58,7.33,10.0,10.0,10.0,7.5,82.42,0.13,No informado,0,4,0.0
1202,Mexico,1300.0,2012,Mundo Novo,Natural / Dry,6.75,7.08,6.67,7.25,7.17,7.08,10.0,10.0,10.0,7.0,79.0,0.12,No informado,0,12,0.0
891,Mexico,1400.0,2012,Bourbon,Washed / Wet,7.67,7.25,7.17,7.75,7.5,7.25,10.0,10.0,10.0,7.08,81.67,0.11,Green,0,4,0.0
927,Mexico,1000.0,2012,Typica,Semi-washed / Semi-pulped,7.33,7.5,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.25,81.5,0.11,Green,0,6,0.0
926,Mexico,1100.0,2012,Catuai,Washed / Wet,7.42,7.25,7.17,7.42,7.17,8.0,10.0,10.0,10.0,7.08,81.5,0.12,Green,0,10,0.0
1307,Mexico,900.0,2012,Bourbon,Washed / Wet,7.08,6.83,6.25,7.42,7.25,6.75,10.0,0.0,10.0,6.75,68.33,0.11,No informado,0,20,0.0
1223,Mexico,1400.0,2012,Typica,Washed / Wet,7.08,6.83,6.83,7.0,7.0,6.92,10.0,10.0,10.0,6.83,78.5,0.12,No informado,0,14,0.0
1252,Mexico,1300.0,2012,Typica,Washed / Wet,7.17,6.75,6.58,6.75,6.83,6.75,10.0,10.0,10.0,6.67,77.5,0.13,Green,0,3,0.0
1134,Mexico,1100.0,2012,Other,Washed / Wet,7.17,7.17,6.92,7.25,7.33,7.08,10.0,10.0,10.0,7.0,79.92,0.12,Green,1,7,0.0
1242,Mexico,850.0,2012,Other,Washed / Wet,7.25,7.33,7.0,7.0,7.25,7.08,10.0,10.0,8.0,7.08,78.0,0.12,Green,2,7,0.0
1012,Mexico,950.0,2012,Other,Washed / Wet,7.08,7.33,7.33,7.33,7.42,7.25,10.0,10.0,10.0,7.25,81.0,0.12,Green,0,12,0.0
1259,Mexico,1200.0,2012,Other,Washed / Wet,7.08,7.0,7.0,7.25,7.33,7.25,8.67,8.67,10.0,6.92,77.17,0.12,Green,1,11,0.0
1181,Mexico,750.0,2012,Typica,Washed / Wet,7.42,7.17,7.08,7.17,7.08,7.08,9.33,10.0,10.0,7.0,79.33,0.14,Green,0,19,0.0
1180,Mexico,950.0,2012,Typica,Washed / Wet,7.0,7.0,6.83,7.33,7.42,6.92,10.0,10.0,10.0,6.83,79.33,0.14,No informado,0,23,0.0
469,Mexico,700.0,2012,Typica,Washed / Wet,7.75,7.5,7.42,7.75,7.58,7.58,10.0,10.0,10.0,7.58,83.17,0.13,Green,0,5,0.0
1079,Mexico,1450.0,2012,Typica,Washed / Wet,7.25,7.25,7.08,7.33,7.25,7.17,10.0,10.0,10.0,7.17,80.5,0.15,No informado,0,1,0.0
1203,Mexico,1550.0,2012,Typica,Semi-washed / Semi-pulped,7.5,7.17,6.92,7.5,7.25,7.0,8.67,10.0,10.0,7.0,79.0,0.14,Green,3,17,0.0
1226,Mexico,1500.0,2012,Typica,Washed / Wet,7.58,7.17,7.0,7.17,7.33,7.0,8.0,10.0,10.0,7.17,78.42,0.14,No informado,0,0,0.0
1111,Mexico,1550.0,2012,Typica,Washed / Wet,7.58,7.42,7.33,7.5,7.08,7.17,8.67,10.0,10.0,7.42,80.17,0.14,Green,1,2,0.0
1256,Mexico,1500.0,2012,Typica,Washed / Wet,7.33,7.0,6.67,7.0,6.92,6.92,9.33,9.33,10.0,6.83,77.33,0.15,No informado,4,5,0.0
1195,Mexico,1500.0,2012,Typica,Washed / Wet,7.33,7.0,6.92,7.25,7.33,7.08,9.33,10.0,10.0,6.83,79.08,0.16,No informado,0,2,0.0
1121,Mexico,1300.0,2012,Typica,Washed / Wet,7.33,7.17,7.25,7.08,7.08,7.08,10.0,10.0,10.0,7.08,80.08,0.15,No informado,0,0,0.0
1282,Mexico,1500.0,2012,Typica,Washed / Wet,7.08,6.75,6.58,7.0,7.0,6.75,8.67,8.67,10.0,6.42,74.92,0.17,No informado,0,6,0.0
1190,Mexico,1550.0,2012,Typica,Washed / Wet,7.25,7.08,6.92,7.08,7.17,7.17,9.33,10.0,10.0,7.17,79.17,0.14,No informado,0,8,0.0
1206,Mexico,1400.0,2012,Typica,Washed / Wet,7.5,7.0,6.92,7.08,6.92,6.75,10.0,10.0,10.0,6.75,78.92,0.16,No informado,0,0,0.0
1269,Mexico,1400.0,2012,Typica,Washed / Wet,7.42,7.0,6.83,7.08,6.92,6.83,7.33,10.0,10.0,6.75,76.17,0.16,No informado,2,4,0.0
1154,Mexico,1450.0,2012,Bourbon,Washed / Wet,7.25,7.17,7.17,7.08,7.17,7.0,10.0,10.0,10.0,6.92,79.75,0.14,No informado,0,0,0.0
698,Mexico,1350.0,2012,Pacamara,Washed / Wet,7.58,7.58,7.17,7.5,7.5,7.5,10.0,10.0,10.0,7.58,82.42,0.14,Green,0,6,0.0
332,Mexico,1100.0,2012,Typica,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,7.58,83.67,0.12,Green,4,11,0.0
1196,Mexico,1100.0,2012,Mundo Novo,Washed / Wet,7.25,7.08,6.75,7.33,7.42,7.0,9.33,10.0,10.0,6.92,79.08,0.11,Green,0,45,0.0
1277,Mexico,1100.0,2012,Pacamara,Washed / Wet,7.5,7.25,6.92,7.0,7.17,6.83,8.0,8.0,10.0,6.83,75.5,0.11,Green,4,20,0.0
1191,Mexico,1450.0,2012,Typica,Washed / Wet,7.17,6.92,6.92,7.08,7.17,7.0,10.0,10.0,10.0,6.92,79.17,0.14,Green,0,34,0.0
1152,Mexico,1022.0,2013,Bourbon,Washed / Wet,7.58,7.08,6.92,7.58,7.5,6.92,10.0,9.33,10.0,6.83,79.75,0.13,Green,0,4,0.0
773,Mexico,1144.0,2012,Typica,Washed / Wet,7.5,7.67,7.0,7.5,7.33,7.5,10.0,10.0,10.0,7.67,82.17,0.15,No informado,1,9,0.0
864,Mexico,774.0,2012,Bourbon,Washed / Wet,7.5,7.5,7.33,7.42,7.25,7.25,10.0,10.0,10.0,7.5,81.75,0.13,No informado,2,9,0.0
1105,Mexico,808.0,2012,Caturra,Washed / Wet,7.58,7.33,7.17,7.25,6.75,7.0,10.0,10.0,10.0,7.17,80.25,0.11,No informado,2,8,0.0
946,Mexico,763.0,2012,Caturra,Washed / Wet,7.42,7.33,7.25,7.17,7.25,7.42,10.0,10.0,10.0,7.58,81.42,0.13,No informado,1,8,0.0
466,Mexico,532.0,2012,Typica,Washed / Wet,7.75,7.67,7.58,7.5,7.42,7.58,10.0,10.0,10.0,7.67,83.17,0.12,No informado,3,8,0.0
1163,Mexico,975.0,2012,Caturra,Washed / Wet,7.33,7.17,7.0,6.75,7.08,7.0,10.0,10.0,10.0,7.33,79.67,0.13,No informado,5,6,0.0
829,Mexico,690.0,2012,Mundo Novo,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,7.58,81.92,0.14,No informado,2,8,0.0
828,Mexico,981.0,2012,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10.0,10.0,10.0,7.42,81.92,0.13,No informado,2,7,0.0
746,Mexico,533.0,2012,Bourbon,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10.0,10.0,10.0,7.58,82.25,0.16,No informado,3,8,0.0
467,Mexico,1089.0,2012,Pacamara,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.17,0.14,No informado,0,10,0.0
667,Mexico,1679.0,2012,Typica,Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.5,0.13,No informado,0,10,0.0
728,Mexico,441.0,2012,Typica,Natural / Dry,7.58,7.67,7.58,7.33,7.0,7.58,10.0,10.0,10.0,7.58,82.33,0.15,No informado,1,8,0.0
310,Mexico,700.0,2012,Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,83.75,0.13,No informado,5,5,0.0
1129,Mexico,1100.0,2012,Other,Washed / Wet,7.08,7.33,7.0,7.33,7.08,7.0,10.0,10.0,10.0,7.17,80.0,0.11,Green,0,12,0.0
1034,Mexico,1100.0,2012,Typica,Washed / Wet,7.33,7.25,7.33,7.33,7.25,7.17,10.0,10.0,10.0,7.17,80.83,0.11,Green,0,3,0.0
554,Mexico,1248.0,2012,Typica,Natural / Dry,7.58,7.58,7.33,7.25,7.58,7.75,10.0,10.0,10.0,7.83,82.92,0.1,Green,0,4,0.0
1210,Mexico,1320.0,2012,Typica,Washed / Wet,7.25,6.83,6.83,7.0,7.17,7.0,10.0,10.0,10.0,6.67,78.75,0.14,Green,0,0,0.0
556,Mexico,1400.0,2012,Typica,Washed / Wet,8.0,7.92,7.67,7.17,7.67,7.42,9.33,10.0,10.0,7.75,82.92,0.14,Green,1,4,0.0
890,Mexico,1650.0,2012,Typica,Washed / Wet,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10.0,10.0,7.58,81.67,0.13,Green,1,13,0.0
1177,Mexico,800.0,2012,Typica,Washed / Wet,7.0,6.83,6.83,7.42,7.33,7.17,10.0,10.0,10.0,6.83,79.42,0.13,Green,0,30,0.0
697,Mexico,1300.0,2012,Typica,Washed / Wet,7.5,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.42,0.11,Green,0,0,0.0
1278,Mexico,1200.0,2012,Mundo Novo,Washed / Wet,7.17,6.92,6.67,6.83,7.25,7.75,10.0,6.0,10.0,6.58,75.17,0.11,Green,0,20,0.0
370,Mexico,1400.0,2012,Pacamara,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,83.5,0.12,Green,0,0,0.0
1281,Mexico,850.0,2012,Typica,Washed / Wet,7.0,6.92,6.75,6.92,7.17,6.83,10.0,6.67,10.0,6.75,75.0,0.14,Green,15,7,0.0
1283,Mexico,1250.0,2012,Typica,Washed / Wet,7.33,6.75,6.67,7.25,7.5,7.0,10.0,5.33,10.0,7.0,74.83,0.12,Green,0,30,0.0
1128,Mexico,1250.0,2012,Typica,Washed / Wet,7.25,7.25,7.08,7.17,7.33,7.33,9.33,10.0,10.0,7.25,80.0,0.12,Green,0,9,0.0
1110,Mexico,1250.0,2012,Typica,Washed / Wet,7.33,7.08,6.92,7.42,7.25,7.08,10.0,10.0,10.0,7.08,80.17,0.11,Green,0,2,0.0
1137,Mexico,1250.0,2012,Typica,Natural / Dry,7.33,7.25,7.0,7.42,7.17,7.17,9.33,10.0,10.0,7.25,79.92,0.12,Green,0,6,0.0
187,Mexico,1700.0,2012,Typica,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,84.33,0.12,Blue-Green,0,1,0.0
961,Mexico,1000.0,2012,Typica,Washed / Wet,7.33,7.25,7.17,7.42,7.58,7.33,10.0,10.0,10.0,7.25,81.33,0.12,No informado,0,4,0.0
1138,Mexico,1250.0,2012,Mundo Novo,Washed / Wet,7.17,7.33,7.08,7.58,7.33,7.08,10.0,9.33,10.0,7.0,79.92,0.11,Green,0,0,0.0
1033,Mexico,1210.0,2012,Catuai,Semi-washed / Semi-pulped,7.17,7.08,7.25,7.42,7.25,7.33,10.0,10.0,10.0,7.33,80.83,0.13,Green,0,7,0.0
1112,Mexico,1000.0,2012,Bourbon,Washed / Wet,7.33,7.33,7.17,7.08,7.25,7.0,10.0,10.0,10.0,7.0,80.17,0.12,Green,0,12,0.0
1184,Mexico,1000.0,2012,Bourbon,Washed / Wet,7.0,7.0,6.92,7.17,7.17,7.08,10.0,10.0,10.0,6.92,79.25,0.13,Green,0,10,0.0
1290,Mexico,1200.0,2012,Typica,Washed / Wet,6.92,6.42,6.17,7.33,7.25,6.75,10.0,6.67,10.0,6.5,74.0,0.13,No informado,0,27,0.0
519,Mexico,750.0,2012,Typica,Washed / Wet,7.67,7.58,7.42,7.5,7.67,7.58,10.0,10.0,10.0,7.58,83.0,0.11,Green,0,20,0.0
790,Mexico,1250.0,2012,Typica,Washed / Wet,7.67,7.5,7.25,7.58,7.42,7.33,10.0,10.0,10.0,7.33,82.08,0.11,Green,0,11,0.0
1143,Mexico,1300.0,2012,Typica,Washed / Wet,7.17,7.08,7.0,7.25,7.5,7.0,10.0,10.0,10.0,6.83,79.83,0.12,Green,0,3,0.0
601,Mexico,1200.0,2012,Typica,Washed / Wet,7.58,7.58,7.33,7.75,7.25,7.58,10.0,10.0,10.0,7.67,82.75,0.12,No informado,0,0,0.0
792,Mexico,1250.0,2012,Typica,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10.0,10.0,10.0,7.33,82.08,0.11,Green,0,1,0.0
751,Mexico,1100.0,2012,Typica,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10.0,10.0,10.0,7.42,82.25,0.11,Green,0,0,0.0
1167,Mexico,1550.0,2012,Caturra,Washed / Wet,7.25,6.92,6.92,7.33,7.25,7.0,10.0,10.0,10.0,6.92,79.58,0.13,Green,0,5,0.0
